tweet,Compound_Score,Sentiments
refuse grab cryss,-0.296,Negatif
browse grab grab thank you,0.3612,Positif
use the grab promo for a good year,0.4404,Positif
dpt partner rider panda grab pastu content cam is nice,0.4215,Positif
It's true that grab is expensive now,0.4215,Positif
lucky disney yesterday directly bought it got a grab promo,0.4215,Positif
want to tell the story of pulling grabfood cents from the gang's house because,0.0772,Positif
there is a grab order in case the rider wants to send the rain to Lapau,0.0,Positif
work on the way home and take a gojek grab it's worth please,0.4939,Positif
"Have you ever been a friend, grab shopeefood, teacher chatted before",0.4939,Positif
there is a gojek angkot grab maxim,0.0,Positif
it's funny to grab a ride,0.4404,Positif
it's hard to book grab,-0.1027,Negatif
It's normal that the price of eating tourist locations is expensive but grab food orders,0.0,Positif
grab grab boss,0.0,Positif
"If you ask if you want to grab it, don't worry, flonerch agent can grab it",0.4031,Positif
he's a grab planet driver exactly exo planet off grab to serve the country,0.0,Positif
"as I have been told, the salary is only up to the level of grab masyuk",0.0,Positif
thanks grab,0.4404,Positif
So happy to use Grab because my discount customer asks for a grabbike message please,0.7425,Positif
"listen to the sobbing playlist at sunset, then blankly grab a recommendation",-0.3818,Negatif
Have Stella coffee sprayed a grab jacket,0.0,Positif
gilee grab,0.0,Positif
So happy to use Grab because my discount customer asks for a grabbike message please,0.7425,Positif
it's true that the grab driver I asked for awikwok prayer,0.4215,Positif
So happy to use Grab because my discount customer asks for a grabbike message please,0.7425,Positif
"shopee food is hard to refund, grab fast, you can settle hours",-0.1027,Negatif
no gojek grab,-0.296,Negatif
then grab it and use your money hahahah understood please explain,0.3182,Positif
go home by grab,0.0,Positif
wow i was sleeping on grab,0.5859,Positif
driver grab the emotion of God's soul like I'm emotional,0.4767,Positif
this gocar grab can be dom jateng,0.0,Positif
immediately investigate the response to the grab summons solution so it will be stolen,-0.2263,Negatif
"It's so sad to meet the road, a good friend in English, his father brought a bag",0.4033,Positif
morning afternoon night always reliable pes where fast easy access,0.4404,Positif
money habis grab you,0.0,Positif
go home sency jam grab I'm scared of dogs,-0.4404,Negatif
wtb promo gojek grab,0.0,Positif
duh sorry salma about the grab application suddenly help check please info,0.5719,Positif
heavy rain let's grab it,0.0,Positif
want to close service google gofood gojek grabfood grab apps bus service cool street location,0.3818,Positif
but dizzy grab clean admin fee,0.296,Positif
Dorang dorang see a sporting pig hahaha brother grab tudu,0.5574,Positif
sp said to grab it,0.0,Positif
"layang grab, wake up late at night, eat medicine, pass out, forget to set the clock",-0.2263,Negatif
help promo grab goride,0.4019,Positif
live grab to grab,0.0,Positif
crazy slow motion grab morning,-0.34,Negatif
it's the woman who cooks profitably benefits the grabfood stall,0.5267,Positif
"In the morning, jogging using Grab Now, seconds late when I'm absent, Tae really",0.0,Positif
"Take the Sudimara KRL, just go up there, grab it, get off the coke",0.0,Positif
"right, grab a gojek, don't be nebeng",0.0,Positif
Assalamualaikum good morning today try to grab the location of the plaque hehehe,0.4404,Positif
"there's a Monday grab it, I've been Monday until I am phpined by the driver for the driver case",0.0,Positif
It's bad that the salary is small for a male officemate,-0.5423,Negatif
mending grab,0.0,Positif
"just grabbike, my brother came right on the road near the motorbike",0.0,Positif
grab it there,0.0,Positif
oh month yes try to check grab,0.4019,Positif
after ward wanted to eat alhamdulillah nasip grab,0.0,Positif
wait you can grab the link,0.0,Positif
don't be grab doi,0.0,Positif
Grab car driver is handsome now,0.4939,Positif
